subject,tier,rank,journal,match_journal,normalized_journal,alias_type,source_file
"BUSINESS, FINANCE",A+,exceptional,Journal of Finance,Journal of Finance,journal of finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",A+,exceptional,Journal of Financial Economics,Journal of Financial Economics,journal of financial economics,canonical,business_finance_final.md
"BUSINESS, FINANCE",A+,exceptional,Review of Financial Studies,Review of Financial Studies,review of financial studies,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Emerging Markets Review,Emerging Markets Review,emerging markets review,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,European Accounting Review,European Accounting Review,european accounting review,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Financial Analysts Journal,Financial Analysts Journal,financial analysts journal,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Financial Management,Financial Management,financial management,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Global Finance Journal,Global Finance Journal,global finance journal,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Journal of Behavioral and Experimental Finance,Journal of Behavioral and Experimental Finance,journal of behavioral and experimental finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Journal of Empirical Finance,Journal of Empirical Finance,journal of empirical finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Journal of Financial Markets,Journal of Financial Markets,journal of financial markets,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Journal of Real Estate Finance and Economics,Journal of Real Estate Finance and Economics,journal of real estate finance and economics,canonical,business_finance_final.md
"BUSINESS, FINANCE",B,fair,Mathematical Finance,Mathematical Finance,mathematical finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Australian Accounting Review,Australian Accounting Review,australian accounting review,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Borsa Istanbul Review,Borsa Istanbul Review,borsa istanbul review,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Financial Accountability & Management,Financial Accountability & Management,financial accountability and management,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Fiscal Studies,Fiscal Studies,fiscal studies,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,International Journal of Accounting,International Journal of Accounting,international journal of accounting,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,International Journal of Auditing,International Journal of Auditing,international journal of auditing,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,International Journal of Managerial Finance,International Journal of Managerial Finance,international journal of managerial finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Journal of Accounting Literature,Journal of Accounting Literature,journal of accounting literature,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Journal of Behavioral Finance,Journal of Behavioral Finance,journal of behavioral finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Journal of Information Systems,Journal of Information Systems,journal of information systems,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Journal of Risk Finance,Journal of Risk Finance,journal of risk finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Journal of Sustainable Finance & Investment,Journal of Sustainable Finance & Investment,journal of sustainable finance and investment,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Meditari Accountancy Research,Meditari Accountancy Research,meditari accountancy research,canonical,business_finance_final.md
"BUSINESS, FINANCE",C,limited,Sustainability Accounting Management and Policy Journal,Sustainability Accounting Management and Policy Journal,sustainability accounting management and policy journal,canonical,business_finance_final.md
"BUSINESS, FINANCE",A,strong,Journal of Banking & Finance,Journal of Banking & Finance,journal of banking and finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",A,strong,Journal of Corporate Finance,Journal of Corporate Finance,journal of corporate finance,canonical,business_finance_final.md
"BUSINESS, FINANCE",A,strong,Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,journal of financial and quantitative analysis,canonical,business_finance_final.md
"BUSINESS, FINANCE",A,strong,Journal of Financial Intermediation,Journal of Financial Intermediation,journal of financial intermediation,canonical,business_finance_final.md
"BUSINESS, FINANCE",A,strong,Journal of Monetary Economics,Journal of Monetary Economics,journal of monetary economics,canonical,business_finance_final.md
"BUSINESS, FINANCE",A,strong,"Journal of Money, Credit and Banking","Journal of Money, Credit and Banking",journal of money credit and banking,canonical,business_finance_final.md
"BUSINESS, FINANCE",A,strong,Journal of Risk and Insurance,Journal of Risk and Insurance,journal of risk and insurance,canonical,business_finance_final.md
"BUSINESS, FINANCE",A,strong,Review of Finance,Review of Finance,review of finance,canonical,business_finance_final.md
