subject,rank,total,train,validate,test,other_or_empty_split
"BUSINESS, FINANCE",exceptional,1043,993,50,0,0
"BUSINESS, FINANCE",strong,1424,1374,50,0,0
"BUSINESS, FINANCE",fair,1116,1066,50,0,0
"BUSINESS, FINANCE",limited,1167,1117,50,0,0
"BUSINESS, FINANCE",ALL,4750,,,,
COMMUNICATION,exceptional,798,748,50,0,0
COMMUNICATION,strong,457,407,50,0,0
COMMUNICATION,fair,942,892,50,0,0
COMMUNICATION,limited,590,540,50,0,0
COMMUNICATION,ALL,2787,,,,
POLITICAL SCIENCE,exceptional,493,443,50,0,0
POLITICAL SCIENCE,strong,780,730,50,0,0
POLITICAL SCIENCE,fair,1211,1161,50,0,0
POLITICAL SCIENCE,limited,647,597,50,0,0
POLITICAL SCIENCE,ALL,3131,,,,
"PSYCHOLOGY, MULTIDISCIPLINARY",exceptional,426,376,50,0,0
"PSYCHOLOGY, MULTIDISCIPLINARY",strong,814,764,50,0,0
"PSYCHOLOGY, MULTIDISCIPLINARY",fair,1067,1017,50,0,0
"PSYCHOLOGY, MULTIDISCIPLINARY",limited,1474,1424,50,0,0
"PSYCHOLOGY, MULTIDISCIPLINARY",ALL,3781,,,,
PUBLIC ADMINISTRATION,exceptional,351,301,50,0,0
PUBLIC ADMINISTRATION,strong,874,824,50,0,0
PUBLIC ADMINISTRATION,fair,300,250,50,0,0
PUBLIC ADMINISTRATION,limited,926,876,50,0,0
PUBLIC ADMINISTRATION,ALL,2451,,,,
SOCIOLOGY,exceptional,344,294,50,0,0
SOCIOLOGY,strong,1218,1168,50,0,0
SOCIOLOGY,fair,2181,2131,50,0,0
SOCIOLOGY,limited,1346,1296,50,0,0
SOCIOLOGY,ALL,5089,,,,
