figure_id,released_asset,supporting_package_files,output_supported,paper_location
Figure1,figures/main/Figure1.png,figures/provenance/fig1_caption.md,Conceptual summary figure; released as final static asset,manuscript main Figure 1
Figure2,figures/main/Figure2.png; figures/main/Figure2.pdf,figures/provenance/fig2_provenance.csv; figures/provenance/fig2_panelC_stats.json; figures/provenance/fig2_panelD_stats.json; data/supplementary_tables/ST1_cross_field_accuracy.csv; data/supplementary_tables/ST12_per_tier_best_sft.csv,"Cross-field accuracy, control comparisons, and tier-extreme recall",manuscript main Figure 2
Figure3,figures/main/Figure3.png; figures/main/Figure3.pdf,figures/provenance/fig3_provenance.csv; data/management_deep_probe/statistics/S05_AIvsHumanStats.json; data/management_deep_probe/human_ratings/reproducibility/*.jsonl; data/management_deep_probe/predictions/frontier_10models_8runs.jsonl; data/management_deep_probe/predictions/sft_predictions.jsonl,Management AI/human calibration and distribution panels,manuscript main Figure 3
Figure4,figures/main/Figure4.png; figures/main/Figure4.pdf,figures/provenance/fig4_provenance.csv; data/cross_field_standardized/statistics/cross_field_calibration_data.json; data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl; data/cross_field_standardized/statistics/gpt55_chat_logp_selective_prediction.csv; data/cross_field_standardized/statistics/gpt55_chat_logp_band_data.json; data/supplementary_tables/ST2_confidence_calibration_by_field.csv; data/supplementary_tables/ST16_selective_prediction.csv,Cross-field calibration and selective-prediction panels,manuscript main Figure 4
Figure5,figures/main/Figure5.png; figures/main/Figure5.pdf,figures/provenance/fig5_provenance.csv; data/management_deep_probe/predictions/rl_predictions.jsonl; data/management_deep_probe/predictions/sft_temporal_old_predictions.jsonl; data/management_deep_probe/predictions/core_rq_short_transfer_predictions.jsonl; data/management_deep_probe/pairwise/*/metrics.json; data/management_deep_probe/statistics/S15_CoreRQShortTransferStats.json; data/management_deep_probe/statistics/S14_PairwiseRawPValues.json,Mechanism and robustness panels,manuscript main Figure 5
SF1,figures/supplementary/SupplementaryFigure1.png; figures/supplementary/SupplementaryFigure1.pdf,figures/provenance/sf1_provenance.csv; data/supplementary_tables/ST1_cross_field_accuracy.csv,Cross-field SFT versus control accuracy,Supplementary Figure 1
SF2,figures/supplementary/SupplementaryFigure2.png; figures/supplementary/SupplementaryFigure2.pdf,figures/provenance/sf2_provenance.csv; data/supplementary_tables/ST13_sft_vs_base_lift.csv,SFT-vs-base lift heatmap,Supplementary Figure 2
SF3,figures/supplementary/SupplementaryFigure3.png; figures/supplementary/SupplementaryFigure3.pdf,figures/provenance/sf3_provenance.csv; data/cross_field_standardized/predictions/management_sft_transfer_to_seven_fields.jsonl; data/supplementary_tables/ST17_management_sft_cross_field_transfer.csv,Management-SFT cross-field transfer matrix,Supplementary Figure 3
SF4,figures/supplementary/SupplementaryFigure4.png; figures/supplementary/SupplementaryFigure4.pdf,figures/provenance/sf4_provenance.csv; data/cross_field_standardized/statistics/cross_field_calibration_data.json; data/supplementary_tables/ST2_confidence_calibration_by_field.csv,Reliability diagrams for GPT-4.1-nano SFT,Supplementary Figure 4
SF5,figures/supplementary/SupplementaryFigure5.png; figures/supplementary/SupplementaryFigure5.pdf,figures/provenance/sf5_provenance.csv; data/supplementary_tables/ST16_selective_prediction.csv,Selective-prediction coverage curves,Supplementary Figure 5
SF6,figures/supplementary/SupplementaryFigure6.png; figures/supplementary/SupplementaryFigure6.pdf,figures/provenance/sf6_provenance.csv; data/management_deep_probe/statistics/S05_AIvsHumanStats.json; data/management_deep_probe/predictions/chat_predictions.jsonl; data/management_deep_probe/predictions/frontier_10models_8runs.jsonl; data/management_deep_probe/predictions/sft_predictions.jsonl,Prediction-distribution comparison across evaluator classes,Supplementary Figure 6
SF7,figures/supplementary/SupplementaryFigure7.png; figures/supplementary/SupplementaryFigure7.pdf,figures/provenance/sf7_provenance.csv; data/management_deep_probe/statistics/S01_FlagshipStats.json; data/management_deep_probe/predictions/frontier_10models_8runs.jsonl,Frontier-collapse metric landscape,Supplementary Figure 7
SF8,figures/supplementary/SupplementaryFigure8.png; figures/supplementary/SupplementaryFigure8.pdf,figures/provenance/sf8_provenance.csv; data/cross_field_standardized/predictions/seven_field_core_predictions.jsonl; data/management_deep_probe/predictions/sft_predictions.jsonl; data/supplementary_tables/ST12_per_tier_best_sft.csv,Per-field confusion matrices for best single SFT,Supplementary Figure 8
SF9,figures/supplementary/SupplementaryFigure9.png; figures/supplementary/SupplementaryFigure9.pdf,figures/provenance/sf9_provenance.csv; data/cross_field_standardized/statistics/ensemble_cross_field_results.csv; data/supplementary_tables/ST14_cross_field_ensemble_sensitivity.csv,Cross-field ensemble sensitivity,Supplementary Figure 9
SF10,figures/supplementary/SupplementaryFigure10.png; figures/supplementary/SupplementaryFigure10.pdf,figures/provenance/sf10_provenance.csv; data/management_deep_probe/statistics/S01_FlagshipStats.json; data/management_deep_probe/predictions/frontier_10models_8runs.jsonl,Frontier model deep-dive,Supplementary Figure 10
SF11,figures/supplementary/SupplementaryFigure11.png; figures/supplementary/SupplementaryFigure11.pdf,figures/provenance/sf11_provenance.csv; data/cross_field_standardized/predictions/gpt52_chat_logp_all_fields.jsonl; data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl; data/cross_field_standardized/predictions/gpt55_high_reasoning_item_summary.jsonl; data/cross_field_standardized/statistics/gpt55_chat_logp_selective_prediction.csv; data/cross_field_standardized/statistics/gpt55_high_reasoning_field_summary.csv; data/cross_field_standardized/statistics/gpt55_reasoning_comparison_stats.json; data/supplementary_tables/ST2b_current_gpt55_all_field_audit.csv,May 2026 GPT-5.5 all-field audit,Supplementary Figure 11
