n_articles,n_correct,accuracy
8,8,1.0
8,6,0.75
8,5,0.625
8,5,0.625
8,5,0.625
8,5,0.625
8,5,0.625
8,5,0.625
8,4,0.5
8,4,0.5
8,4,0.5
8,4,0.5
8,4,0.5
8,4,0.5
8,4,0.5
8,4,0.5
8,4,0.5
8,3,0.375
8,3,0.375
8,3,0.375
8,3,0.375
8,3,0.375
8,3,0.375
8,3,0.375
8,3,0.375
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,2,0.25
8,1,0.125
8,1,0.125
8,1,0.125
8,1,0.125
8,1,0.125
8,1,0.125
8,1,0.125
8,0,0.0
8,0,0.0
