field,journal,source_tier,rank_label
Sociology,American Journal of Sociology,A+,exceptional
Sociology,American Sociological Review,A+,exceptional
Sociology,Annual Review of Sociology,A+,exceptional
Sociology,Social Forces,A+,exceptional
Sociology,European Sociological Review,A,strong
Sociology,Gender & Society,A,strong
Sociology,Journal of Health and Social Behavior,A,strong
Sociology,Journal of Marriage and Family,A,strong
Sociology,Social Networks,A,strong
Sociology,Social Problems,A,strong
Sociology,Socio-Economic Review,A,strong
Sociology,Sociological Methods & Research,A,strong
Sociology,Sociological Theory,A,strong
Sociology,Sociology (BSA),A,strong
Sociology,Sociology (BSA),A,strong
Sociology,Sociology (BSA),A,strong
Sociology,Theory and Society,A,strong
Sociology,Agriculture and Human Values,B,fair
Sociology,American Journal of Cultural Sociology,B,fair
Sociology,Cultural Sociology,B,fair
Sociology,European Journal of Social Theory,B,fair
Sociology,European Societies,B,fair
Sociology,Information Communication & Society,B,fair
Sociology,International Political Sociology,B,fair
Sociology,Journal for the Scientific Study of Religion,B,fair
Sociology,Journal of Cultural Economy,B,fair
Sociology,Media Culture & Society,B,fair
Sociology,Mobilization,B,fair
Sociology,Politics & Society,B,fair
Sociology,Qualitative Sociology,B,fair
Sociology,Race & Class,B,fair
Sociology,Rural Sociology,B,fair
Sociology,Social Indicators Research,B,fair
Sociology,Social Science Research,B,fair
Sociology,Sociological Quarterly,B,fair
Sociology,Sociology of Race and Ethnicity,B,fair
Sociology,Socius,B,fair
Sociology,Annals of Tourism Research,C,limited
Sociology,Community Work & Family,C,limited
Sociology,Critical Sociology,C,limited
Sociology,Human Ecology,C,limited
Sociology,Human Studies,C,limited
Sociology,Scandinavian Journal of Hospitality and Tourism,C,limited
Sociology,Social Justice Research,C,limited
Sociology,Social Science Quarterly,C,limited
Sociology,Sociological Spectrum,C,limited
Sociology,Young,C,limited
