model,field,sft_accuracy_pct,base_accuracy_pct,lift_pp
Qwen3-30B-A3B SFT,Management,58.3,22.5,35.8
Qwen3-30B-A3B SFT,Economics,69.5,25.5,44.0
Qwen3-30B-A3B SFT,Business and finance,53.5,28.5,25.0
Qwen3-30B-A3B SFT,Communication,67.5,31.5,36.0
Qwen3-30B-A3B SFT,Political science,58.5,24.5,34.0
Qwen3-30B-A3B SFT,"Psychology, multidisciplinary",85.5,31.5,54.0
Qwen3-30B-A3B SFT,Public administration,55.0,23.5,31.5
Qwen3-30B-A3B SFT,Sociology,65.5,28.0,37.5
Qwen3-4B SFT,Management,59.2,26.7,32.5
Qwen3-4B SFT,Economics,64.0,25.0,39.0
Qwen3-4B SFT,Business and finance,53.5,25.5,28.0
Qwen3-4B SFT,Communication,61.0,25.0,36.0
Qwen3-4B SFT,Political science,50.5,25.0,25.5
Qwen3-4B SFT,"Psychology, multidisciplinary",76.0,25.0,51.0
Qwen3-4B SFT,Public administration,51.0,25.0,26.0
Qwen3-4B SFT,Sociology,51.0,24.5,26.5
GPT-4.1-nano SFT,Management,57.5,25.0,32.5
GPT-4.1-nano SFT,Economics,68.5,25.0,43.5
GPT-4.1-nano SFT,Business and finance,55.5,26.0,29.5
GPT-4.1-nano SFT,Communication,60.5,24.0,36.5
GPT-4.1-nano SFT,Political science,54.0,26.0,28.0
GPT-4.1-nano SFT,"Psychology, multidisciplinary",81.5,30.0,51.5
GPT-4.1-nano SFT,Public administration,53.5,24.0,29.5
GPT-4.1-nano SFT,Sociology,54.0,26.5,27.5
