field,journal,source_tier,rank_label
Business and finance,Journal of Finance,A+,exceptional
Business and finance,Journal of Financial Economics,A+,exceptional
Business and finance,Review of Financial Studies,A+,exceptional
Business and finance,Journal of Banking & Finance,A,strong
Business and finance,Journal of Corporate Finance,A,strong
Business and finance,Journal of Financial Intermediation,A,strong
Business and finance,Journal of Financial and Quantitative Analysis,A,strong
Business and finance,Journal of Monetary Economics,A,strong
Business and finance,"Journal of Money, Credit and Banking",A,strong
Business and finance,Journal of Risk and Insurance,A,strong
Business and finance,Review of Finance,A,strong
Business and finance,Emerging Markets Review,B,fair
Business and finance,European Accounting Review,B,fair
Business and finance,Financial Analysts Journal,B,fair
Business and finance,Financial Management,B,fair
Business and finance,Global Finance Journal,B,fair
Business and finance,Journal of Behavioral and Experimental Finance,B,fair
Business and finance,Journal of Empirical Finance,B,fair
Business and finance,Journal of Financial Markets,B,fair
Business and finance,Journal of Real Estate Finance and Economics,B,fair
Business and finance,Mathematical Finance,B,fair
Business and finance,Australian Accounting Review,C,limited
Business and finance,Borsa Istanbul Review,C,limited
Business and finance,Financial Accountability & Management,C,limited
Business and finance,Fiscal Studies,C,limited
Business and finance,International Journal of Accounting,C,limited
Business and finance,International Journal of Auditing,C,limited
Business and finance,International Journal of Managerial Finance,C,limited
Business and finance,Journal of Accounting Literature,C,limited
Business and finance,Journal of Behavioral Finance,C,limited
Business and finance,Journal of Information Systems,C,limited
Business and finance,Journal of Risk Finance,C,limited
Business and finance,Journal of Sustainable Finance & Investment,C,limited
Business and finance,Meditari Accountancy Research,C,limited
Business and finance,Sustainability Accounting Management and Policy Journal,C,limited
