field,journal,source_tier,rank_label
Political science,American Journal of Political Science,A+,exceptional
Political science,American Political Science Review,A+,exceptional
Political science,International Organization,A+,exceptional
Political science,Journal of Politics,A+,exceptional
Political science,Annual Review of Political Science,A,strong
Political science,Comparative Political Studies,A,strong
Political science,Comparative Politics,A,strong
Political science,International Studies Quarterly,A,strong
Political science,Journal of Peace Research,A,strong
Political science,Political Science Research and Methods,A,strong
Political science,Political Theory,A,strong
Political science,Politics & Gender,A,strong
Political science,Public Opinion Quarterly,A,strong
Political science,British Journal of Politics & International Relations,B,fair
Political science,Contemporary Security Policy,B,fair
Political science,Geopolitics,B,fair
Political science,Global Environmental Politics,B,fair
Political science,International Journal of Press/Politics,B,fair
Political science,International Political Science Review,B,fair
Political science,International Studies Review,B,fair
Political science,Latin American Politics and Society,B,fair
Political science,Party Politics,B,fair
Political science,Policy and Society,B,fair
Political science,Political Research Quarterly,B,fair
Political science,Political Science Quarterly,B,fair
Political science,Politics & Society,B,fair
Political science,Politics and Governance,B,fair
Political science,Quarterly Journal of Political Science,B,fair
Political science,Regulation & Governance,B,fair
Political science,Review of International Organizations,B,fair
Political science,Review of Policy Research,B,fair
Political science,Contemporary Politics,C,limited
Political science,Economics & Politics,C,limited
Political science,Ethics & International Affairs,C,limited
Political science,Frontiers in Political Science,C,limited
Political science,International Journal of Transitional Justice,C,limited
Political science,Journal of International Relations and Development,C,limited
Political science,Problems of Post-Communism,C,limited
Political science,Scandinavian Political Studies,C,limited
Political science,Swiss Political Science Review,C,limited
