field,journal,source_tier,rank_label
"Psychology, multidisciplinary",Annual Review of Psychology,A+,exceptional
"Psychology, multidisciplinary",Psychological Bulletin,A+,exceptional
"Psychology, multidisciplinary",Psychological Review,A+,exceptional
"Psychology, multidisciplinary",Psychological Science,A+,exceptional
"Psychology, multidisciplinary",American Psychologist,A,strong
"Psychology, multidisciplinary",Journal of Environmental Psychology,A,strong
"Psychology, multidisciplinary",Nature Reviews Psychology,A,strong
"Psychology, multidisciplinary",Psychological Methods,A,strong
"Psychology, multidisciplinary",Aggression and Violent Behavior,B,fair
"Psychology, multidisciplinary",European Psychologist,B,fair
"Psychology, multidisciplinary",Journal of Community Psychology,B,fair
"Psychology, multidisciplinary",Journal of Happiness Studies,B,fair
"Psychology, multidisciplinary",Journal of Positive Psychology,B,fair
"Psychology, multidisciplinary",Journals of Gerontology Series B,B,fair
"Psychology, multidisciplinary",Psychology of Sexual Orientation and Gender Diversity,B,fair
"Psychology, multidisciplinary",Psychology of Women Quarterly,B,fair
"Psychology, multidisciplinary","Technology, Mind, and Behavior",B,fair
"Psychology, multidisciplinary",Adversity and Resilience Science,C,limited
"Psychology, multidisciplinary",Australian Psychologist,C,limited
"Psychology, multidisciplinary",Computers in Human Behavior Reports,C,limited
"Psychology, multidisciplinary",Ecopsychology,C,limited
"Psychology, multidisciplinary",Journal of Pacific Rim Psychology,C,limited
"Psychology, multidisciplinary",Journal of Reproductive and Infant Psychology,C,limited
"Psychology, multidisciplinary",Psychologica Belgica,C,limited
"Psychology, multidisciplinary",Psychological Reports,C,limited
"Psychology, multidisciplinary",Psychology of Religion and Spirituality,C,limited
"Psychology, multidisciplinary",Psychosocial Intervention,C,limited
"Psychology, multidisciplinary",Qualitative Research in Psychology,C,limited
"Psychology, multidisciplinary",Scandinavian Journal of Psychology,C,limited
"Psychology, multidisciplinary",Zeitschrift fur Psychologie - Journal of Psychology,C,limited
