field,journal,source_tier,rank_label
Public administration,Governance,A+,exceptional
Public administration,Journal of Public Administration Research and Theory (JPART),A+,exceptional
Public administration,Journal of Public Administration Research and Theory (JPART),A+,exceptional
Public administration,Journal of Public Administration Research and Theory (JPART),A+,exceptional
Public administration,Public Administration Review (PAR),A+,exceptional
Public administration,Public Administration Review (PAR),A+,exceptional
Public administration,Public Administration Review (PAR),A+,exceptional
Public administration,Journal of European Public Policy,A,strong
Public administration,Journal of Policy Analysis and Management (JPAM),A,strong
Public administration,Journal of Policy Analysis and Management (JPAM),A,strong
Public administration,Journal of Policy Analysis and Management (JPAM),A,strong
Public administration,Public Administration (Wiley),A,strong
Public administration,Public Administration (Wiley),A,strong
Public administration,Public Management Review,A,strong
Public administration,Regulation & Governance,A,strong
Public administration,American Review of Public Administration,B,fair
Public administration,Journal of Public Policy,B,fair
Public administration,Perspectives on Public Management and Governance,B,fair
Public administration,Policy Sciences,B,fair
Public administration,Policy and Politics,B,fair
Public administration,Public Policy and Administration,B,fair
Public administration,Review of Public Personnel Administration,B,fair
Public administration,Climate Policy,C,limited
Public administration,Global Public Policy and Governance,C,limited
Public administration,Journal of Accounting and Public Policy,C,limited
Public administration,Journal of Chinese Governance,C,limited
Public administration,Journal of Comparative Policy Analysis,C,limited
Public administration,Journal of Comparative Policy Analysis,C,limited
Public administration,Journal of Social Policy,C,limited
Public administration,Local Government Studies,C,limited
Public administration,Nonprofit Management & Leadership,C,limited
Public administration,Public Money & Management,C,limited
Public administration,Science and Public Policy,C,limited
Public administration,Social Policy & Administration,C,limited
