evaluator,group,n_articles,n_ties_excluded,overall_accuracy,macro_f1,middle_tier_bias,tier1_precision,tier1_recall,tier4_precision,tier4_recall,top12_precision,top12_recall,bottom34_precision,bottom34_recall,extreme14_precision,extreme14_recall,middle23_precision,middle23_recall,mean_signed_error,pessimism_rate,optimism_rate,individual_mean_accuracy,individual_std_accuracy,matched_n_mean_accuracy,matched_n_ci_lower,matched_n_ci_upper,matched_n_mean_effective_n
Flagship: GLM-5,flagship,112,0,0.3392857142857143,0.30287722946307727,1.6181818181818182,0.36363636363636365,0.2962962962962963,1.0,0.03333333333333333,0.7454545454545455,0.7454545454545455,0.7543859649122807,0.7543859649122807,0.43478260869565216,0.17543859649122806,0.47191011235955055,0.7636363636363637,0.21428571428571427,0.23214285714285715,0.42857142857142855,,,,,,
Flagship: Kimi K2.5,flagship,109,0,0.3211009174311927,0.23909370538802302,2.0,0.5,0.03571428571428571,1.0,0.03571428571428571,0.6923076923076923,0.8490566037735849,0.8181818181818182,0.6428571428571429,0.6666666666666666,0.03571428571428571,0.49056603773584906,0.9811320754716981,0.11926605504587157,0.29357798165137616,0.3853211009174312,,,,,,
Flagship: Gemini 2.5 Pro,flagship,112,0,0.30357142857142855,0.24985031491551737,1.1132075471698113,0.40384615384615385,0.7241379310344828,1.0,0.03333333333333333,0.6111111111111112,0.9821428571428571,0.9545454545454546,0.375,0.4528301886792453,0.4067796610169492,0.4067796610169492,0.4528301886792453,0.7678571428571429,0.07142857142857142,0.625,,,,,,
Flagship: Gemini 3.1 Pro,flagship,115,0,0.391304347826087,0.3742720556279878,1.5087719298245614,0.4782608695652174,0.3793103448275862,0.6666666666666666,0.13793103448275862,0.7735849056603774,0.7068965517241379,0.7258064516129032,0.7894736842105263,0.5172413793103449,0.25862068965517243,0.5,0.7543859649122807,0.10434782608695652,0.24347826086956523,0.3652173913043478,,,,,,
Flagship: Claude Opus 4.6,flagship,120,0,0.275,0.14454899415963662,2.0,0.0,0.0,0.0,0.0,0.5673076923076923,0.9833333333333333,0.9375,0.25,0.0,0.0,0.5,1.0,0.36666666666666664,0.25,0.475,,,,,,
Flagship: GPT-5.2 High,flagship,117,0,0.3162393162393162,0.2070446735395189,2.0172413793103448,0.0,0.0,0.0,0.0,0.7313432835820896,0.8166666666666667,0.78,0.6842105263157895,0.0,0.0,0.49572649572649574,1.0,0.05128205128205128,0.3076923076923077,0.37606837606837606,,,,,,
Flagship: Grok 4.1 Fast,flagship,113,0,0.34513274336283184,0.28064861012116893,1.4210526315789473,0.53125,0.5862068965517241,0.0,0.0,0.5833333333333334,0.9824561403508771,0.9411764705882353,0.2857142857142857,0.5625,0.32142857142857145,0.5308641975308642,0.7543859649122807,0.6106194690265486,0.10619469026548672,0.5486725663716814,,,,,,
Flagship: MiniMax M2.5,flagship,113,0,0.2920353982300885,0.17013953488372094,2.0545454545454547,0.0,0.0,0.0,0.0,0.5729166666666666,0.9482758620689655,0.8235294117647058,0.2545454545454545,0.0,0.0,0.48672566371681414,1.0,0.336283185840708,0.26548672566371684,0.4424778761061947,,,,,,
Flagship: DeepSeek V3.2,flagship,112,0,0.26785714285714285,0.1483741065136414,1.9285714285714286,0.25,0.034482758620689655,0.0,0.0,0.5480769230769231,0.9827586206896551,0.875,0.12962962962962962,0.25,0.017857142857142856,0.49074074074074076,0.9464285714285714,0.42857142857142855,0.25,0.48214285714285715,,,,,,
Flagship: Qwen 3.5 Plus,flagship,113,0,0.30973451327433627,0.24980440452042885,1.7457627118644068,0.42857142857142855,0.10714285714285714,0.3333333333333333,0.038461538461538464,0.7837837837837838,0.5,0.618421052631579,0.8545454545454545,0.4,0.07407407407407407,0.5145631067961165,0.8983050847457628,-0.168141592920354,0.3805309734513274,0.30973451327433627,,,,,,
