expert_id,n_articles,n_correct,accuracy
Expert_001,8,8,1.0
Expert_002,8,6,0.75
Expert_003,8,5,0.625
Expert_004,8,5,0.625
Expert_005,8,5,0.625
Expert_006,8,5,0.625
Expert_007,8,5,0.625
Expert_008,8,5,0.625
Expert_009,8,4,0.5
Expert_010,8,4,0.5
Expert_011,8,4,0.5
Expert_012,8,4,0.5
Expert_013,8,4,0.5
Expert_014,8,4,0.5
Expert_015,8,4,0.5
Expert_016,8,4,0.5
Expert_017,8,4,0.5
Expert_018,8,3,0.375
Expert_019,8,3,0.375
Expert_020,8,3,0.375
Expert_021,8,3,0.375
Expert_022,8,3,0.375
Expert_023,8,3,0.375
Expert_024,8,3,0.375
Expert_025,8,3,0.375
Expert_026,8,2,0.25
Expert_027,8,2,0.25
Expert_028,8,2,0.25
Expert_029,8,2,0.25
Expert_030,8,2,0.25
Expert_031,8,2,0.25
Expert_032,8,2,0.25
Expert_033,8,2,0.25
Expert_034,8,2,0.25
Expert_035,8,2,0.25
Expert_036,8,2,0.25
Expert_037,8,2,0.25
Expert_038,8,2,0.25
Expert_039,8,2,0.25
Expert_040,8,1,0.125
Expert_041,8,1,0.125
Expert_042,8,1,0.125
Expert_043,8,1,0.125
Expert_044,8,1,0.125
Expert_045,8,1,0.125
Expert_046,8,1,0.125
Expert_047,8,0,0.0
Expert_048,8,0,0.0
