model,type,n,accuracy,mean_confidence,median_confidence,std_confidence,mean_entropy,conf_correct,conf_wrong,conf_gap,point_biserial_r,point_biserial_p,mann_whitney_p,mean_confidence_raw_1_5,conf_correct_raw,conf_wrong_raw,conf_gap_raw,spearman_r,spearman_p
DeepSeek Chat,AI (with logp),120,0.275,0.9684843578434361,1.0,0.07453667324279217,0.11834642766694259,0.9856401061165648,0.96197700505018,0.023663101066384806,0.14175454868167658,0.122491563751659,0.07026304049781915,,,,,,
GPT-5.2 (baseline),AI (with logp),120,0.2916666666666667,0.9626131735207036,0.9999994798095075,0.10419467383170453,0.1117017362248435,0.9621120129109264,0.9628195337717886,-0.0007075208608622319,-0.0030864267107001686,0.973310714266996,0.33435838882389557,,,,,,
GPT-5.2 Chat,AI (with logp),120,0.325,0.9821771821374237,0.9999999847700205,0.06606198595403527,0.0633272016466389,0.9977489017319124,0.974679687517855,0.023069214214057387,0.16355911176926835,0.07426336293536051,0.696289998341205,,,,,,
Human Voting (old students),AI (with logp),120,0.4083333333333333,0.4555501288834622,0.46153846153846145,0.10518754912841712,1.6789588906119695,0.47481290440474117,0.44225610070680493,0.03255680369793623,0.15213298726691576,0.09716416928386667,0.07521265614309419,,,,,,
Kimi K2 Chat,AI (with logp),120,0.35833333333333334,0.723961782750462,0.7315132549214054,0.17170250067714107,0.9351306928391535,0.7400295615980667,0.7149888672901111,0.025040694307955524,0.06993073462118304,0.4478738473429095,0.2234078134159056,,,,,,
SFT 2-Model Ensemble,AI (with logp),120,0.5583333333333333,0.6575108130522838,0.6334349776415825,0.18248211726364644,1.1308417076665913,0.6954382402277426,0.609564820207836,0.08587342001990661,0.2336859158562359,0.010205815920777747,0.007865002698525775,,,,,,
SFT-1 (GPT-4.1),AI (with logp),120,0.475,0.6945451698202466,0.6818798607381229,0.16293959798766502,0.9817618865329205,0.7330893433418985,0.6596718699673233,0.07341747337457516,0.22500866888476664,0.013480447244946089,0.009277941154424619,,,,,,
SFT-2 (GPT-4.1-nano),AI (with logp),120,0.525,0.7292435566423284,0.7226469952396624,0.1833254668228142,0.910528911013401,0.7828362129721679,0.670009568067243,0.11282664490492489,0.30733734187496786,0.0006389859020380771,0.000423348978259949,,,,,,
SFT-3 (Qwen3-30B),AI (with logp),120,0.48333333333333334,0.8852232650932711,0.9502637372730527,0.1474121648376005,0.44804876545235134,0.9273622107354921,0.8458029611053869,0.08155924963010519,0.2764830379920359,0.002236854684451705,9.2342409723952e-06,,,,,,
SFT-4 (Qwen3-4B),AI (with logp),120,0.5166666666666667,0.6307475235419443,0.5915327895351712,0.18247907814202016,1.1835779264906268,0.6542668198411458,0.6056062068083151,0.048660613032830646,0.1332579393226231,0.14678879686402807,0.08082555883577741,,,,,,
GLM-5,Flagship (no logp),112,0.32637117346938777,,,,,,,,,,,,,,,,
Kimi K2.5,Flagship (no logp),109,0.31422018348623854,,,,,,,,,,,,,,,,
Gemini 2.5 Pro,Flagship (no logp),112,0.29799107142857145,,,,,,,,,,,,,,,,
Gemini 3.1 Pro,Flagship (no logp),115,0.3870600414078675,,,,,,,,,,,,,,,,
Claude Opus 4.6,Flagship (no logp),120,0.28020833333333334,,,,,,,,,,,,,,,,
GPT-5.2 High,Flagship (no logp),117,0.30982905982905984,,,,,,,,,,,,,,,,
Grok 4.1 Fast,Flagship (no logp),113,0.3396017699115044,,,,,,,,,,,,,,,,
MiniMax M2.5,Flagship (no logp),113,0.27876106194690264,,,,,,,,,,,,,,,,
DeepSeek V3.2,Flagship (no logp),112,0.27232142857142855,,,,,,,,,,,,,,,,
Qwen 3.5 Plus,Flagship (no logp),113,0.31826801517067005,,,,,,,,,,,,,,,,
Seed 2.0,Flagship (no logp),113,0.290929203539823,,,,,,,,,,,,,,,,
Human Expert,Human,384,0.3619791666666667,0.6256510416666666,,,,,,,,,0.1363018432531109,3.5026041666666665,3.5755395683453237,3.4612244897959186,0.11431507854940515,0.05608495676459514,0.27294035676119965
Human Student,Human,2530,0.31778656126482213,0.6149209486166007,,,,,,,,,9.132040678843703e-07,3.459683794466403,3.5796019900497513,3.403823870220162,0.17577811982958913,0.09488667642903272,1.742979922963565e-06
