field,bin_lo,bin_hi,n_in_bin,mean_conf,empirical_acc
Psychology,0.250,0.325,2,0.3173,0.0000
Psychology,0.325,0.400,4,0.3837,0.2500
Psychology,0.400,0.475,7,0.4286,0.1429
Psychology,0.475,0.550,8,0.5110,0.7500
Psychology,0.550,0.625,10,0.5797,0.4000
Psychology,0.625,0.700,9,0.6660,0.6667
Psychology,0.700,0.775,18,0.7454,0.6667
Psychology,0.775,0.850,26,0.8109,0.8462
Psychology,0.850,0.925,32,0.8883,0.9062
Psychology,0.925,1.000,84,0.9669,0.9643
Economics,0.325,0.400,5,0.3777,0.6000
Economics,0.400,0.475,14,0.4431,0.3571
Economics,0.475,0.550,23,0.5140,0.4348
Economics,0.550,0.625,18,0.5915,0.5000
Economics,0.625,0.700,27,0.6613,0.5926
Economics,0.700,0.775,14,0.7402,0.7143
Economics,0.775,0.850,22,0.8120,0.5000
Economics,0.850,0.925,27,0.8921,0.9259
Economics,0.925,1.000,50,0.9798,0.9600
Communication,0.250,0.325,7,0.2973,0.0000
Communication,0.325,0.400,15,0.3664,0.4667
Communication,0.400,0.475,27,0.4301,0.7037
Communication,0.475,0.550,24,0.5090,0.4167
Communication,0.550,0.625,20,0.5912,0.5500
Communication,0.625,0.700,27,0.6639,0.4444
Communication,0.700,0.775,16,0.7366,0.5625
Communication,0.775,0.850,31,0.8161,0.7419
Communication,0.850,0.925,17,0.8820,0.7059
Communication,0.925,1.000,16,0.9786,1.0000
Sociology,0.250,0.325,4,0.3066,0.5000
Sociology,0.325,0.400,22,0.3577,0.3182
Sociology,0.400,0.475,44,0.4427,0.2955
Sociology,0.475,0.550,28,0.5091,0.4643
Sociology,0.550,0.625,19,0.5749,0.3684
Sociology,0.625,0.700,19,0.6580,0.6316
Sociology,0.700,0.775,18,0.7360,0.6111
Sociology,0.775,0.850,10,0.8118,0.9000
Sociology,0.850,0.925,10,0.8794,1.0000
Sociology,0.925,1.000,26,0.9818,0.9615
Management,0.250,0.325,4,0.3093,0.2500
Management,0.325,0.400,18,0.3649,0.3889
Management,0.400,0.475,21,0.4271,0.6667
Management,0.475,0.550,31,0.5070,0.5806
Management,0.550,0.625,16,0.5803,0.5000
Management,0.625,0.700,8,0.6485,0.6250
Management,0.700,0.775,10,0.7290,0.6000
Management,0.775,0.850,6,0.8058,1.0000
Management,0.850,0.925,4,0.9001,1.0000
Management,0.925,1.000,2,0.9624,1.0000
Pol. Science,0.250,0.325,3,0.2985,0.6667
Pol. Science,0.325,0.400,24,0.3724,0.2083
Pol. Science,0.400,0.475,33,0.4382,0.4848
Pol. Science,0.475,0.550,43,0.5177,0.4884
Pol. Science,0.550,0.625,33,0.5817,0.5152
Pol. Science,0.625,0.700,26,0.6627,0.6538
Pol. Science,0.700,0.775,13,0.7367,0.4615
Pol. Science,0.775,0.850,9,0.8065,1.0000
Pol. Science,0.850,0.925,10,0.8814,0.8000
Pol. Science,0.925,1.000,6,0.9510,1.0000
Bus. & Finance,0.250,0.325,2,0.3150,0.5000
Bus. & Finance,0.325,0.400,9,0.3691,0.3333
Bus. & Finance,0.400,0.475,22,0.4447,0.3636
Bus. & Finance,0.475,0.550,39,0.5145,0.4615
Bus. & Finance,0.550,0.625,27,0.5906,0.5556
Bus. & Finance,0.625,0.700,26,0.6566,0.5000
Bus. & Finance,0.700,0.775,22,0.7414,0.5000
Bus. & Finance,0.775,0.850,14,0.8165,0.6429
Bus. & Finance,0.850,0.925,29,0.8893,0.8276
Bus. & Finance,0.925,1.000,10,0.9571,1.0000
Public Admin.,0.250,0.325,16,0.2921,0.4375
Public Admin.,0.325,0.400,50,0.3637,0.4200
Public Admin.,0.400,0.475,32,0.4329,0.5000
Public Admin.,0.475,0.550,31,0.5113,0.4839
Public Admin.,0.550,0.625,11,0.5855,0.4545
Public Admin.,0.625,0.700,4,0.6649,0.7500
Public Admin.,0.700,0.775,5,0.7344,0.8000
Public Admin.,0.775,0.850,14,0.8121,0.5714
Public Admin.,0.850,0.925,14,0.8895,0.5714
Public Admin.,0.925,1.000,23,0.9740,0.9130
