arch,field,coverage_pct,accuracy_pct,n_selected,n_correct,source
Qwen3-30B-A3B SFT,Psychology,10,100.00,20,20,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Psychology,15,100.00,30,30,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Psychology,20,97.50,40,39,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Psychology,25,98.00,50,49,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Psychology,33,96.97,66,64,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Psychology,50,98.00,100,98,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Psychology,100,86.00,200,172,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Economics,10,100.00,20,20,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Economics,15,100.00,30,30,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Economics,20,97.50,40,39,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Economics,25,98.00,50,49,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Economics,33,98.48,66,65,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Economics,50,89.00,100,89,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Economics,100,69.50,200,139,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Communication,10,100.00,20,20,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Communication,15,96.67,30,29,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Communication,20,92.50,40,37,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Communication,25,92.00,50,46,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Communication,33,83.33,66,55,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Communication,50,79.00,100,79,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Communication,100,67.50,200,135,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Sociology,10,95.00,20,19,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Sociology,15,96.67,30,29,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Sociology,20,95.00,40,38,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Sociology,25,94.00,50,47,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Sociology,33,87.88,66,58,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Sociology,50,83.00,100,83,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Sociology,100,63.00,200,126,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Management,10,100.00,12,12,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Management,15,88.89,18,16,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Management,20,75.00,24,18,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Management,25,73.33,30,22,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Management,33,71.79,39,28,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Management,50,70.00,60,42,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Management,100,58.33,120,70,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Pol. Science,10,80.00,20,16,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Pol. Science,15,73.33,30,22,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Pol. Science,20,67.50,40,27,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Pol. Science,25,72.00,50,36,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Pol. Science,33,74.24,66,49,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Pol. Science,50,69.00,100,69,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Pol. Science,100,59.00,200,118,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Bus. & Finance,10,95.00,20,19,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Bus. & Finance,15,90.00,30,27,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Bus. & Finance,20,92.50,40,37,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Bus. & Finance,25,80.00,50,40,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Bus. & Finance,33,74.24,66,49,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Bus. & Finance,50,67.00,100,67,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Bus. & Finance,100,53.00,200,106,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Public Admin.,10,95.00,20,19,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Public Admin.,15,93.33,30,28,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
Qwen3-30B-A3B SFT,Public Admin.,20,90.00,40,36,data/cross_field_standardized/statistics/cross_field_calibration_data.json (selective_prediction)
